"","ID","fip","2020-01-21","2020-01-22","2020-01-23","2020-01-24","2020-01-25","2020-01-26","2020-01-27","2020-01-28","2020-01-29","2020-01-30","2020-01-31","2020-02-01","2020-02-02","2020-02-03","2020-02-04","2020-02-05","2020-02-06","2020-02-07","2020-02-08","2020-02-09","2020-02-10","2020-02-11","2020-02-12","2020-02-13","2020-02-14","2020-02-15","2020-02-16","2020-02-17","2020-02-18","2020-02-19","2020-02-20","2020-02-21","2020-02-22","2020-02-23","2020-02-24","2020-02-25","2020-02-26","2020-02-27","2020-02-28","2020-02-29","2020-03-01","2020-03-02","2020-03-03","2020-03-04","2020-03-05","2020-03-06","2020-03-07","2020-03-08","2020-03-09","2020-03-10","2020-03-11","2020-03-12","2020-03-13","2020-03-14","2020-03-15","2020-03-16","2020-03-17","2020-03-18","2020-03-19","2020-03-20","2020-03-21","2020-03-22","2020-03-23","2020-03-24","2020-03-25","2020-03-26","2020-03-27","2020-03-28","2020-03-29","2020-03-30","2020-03-31","2020-04-01","2020-04-02","2020-04-03","2020-04-04","2020-04-05","2020-04-06","2020-04-07","2020-04-08","2020-04-09","2020-04-10","2020-04-11","2020-04-12","2020-04-13","2020-04-14","2020-04-15","2020-04-16","2020-04-17","2020-04-18","2020-04-19","2020-04-20","2020-04-21","2020-04-22","2020-04-23","2020-04-24","2020-04-25","2020-04-26","2020-04-27","2020-04-28","2020-04-29","2020-04-30","2020-05-01","2020-05-02","2020-05-03","2020-05-04","2020-05-05","2020-05-06","2020-05-07","2020-05-08","2020-05-09","2020-05-10","2020-05-11","2020-05-12","age_tot_65plus","tot_pop","StateAbbr","CountyName","StateName"
"11",10,"48189",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9314337642541e-05,2.9314337642541e-05,2.9314337642541e-05,2.9314337642541e-05,2.9314337642541e-05,2.9314337642541e-05,2.9314337642541e-05,2.9314337642541e-05,0.000175886025855246,0.000175886025855246,0.000175886025855246,0.000205200363497787,0.000205200363497787,0.000205200363497787,0.000205200363497787,0.000263829038782869,0.000263829038782869,0.000322457714067951,0.000322457714067951,0.000322457714067951,0.000322457714067951,0.000322457714067951,0.000322457714067951,0.000322457714067951,0.000322457714067951,0.000351772051710492,0.000351772051710492,0.000439715064638114,0.000469029402280655,0.000469029402280655,0.000556972415208278,0.000556972415208278,0.000556972415208278,0.000556972415208278,0.000703544103420983,0.000703544103420983,0.000732858441063524,0.000732858441063524,0.000762172778706065,0.000850115791633688,0.000850115791633688,0.000850115791633688,0.00090874446691877,0.00108463049277402,0.00108463049277402,0.00108463049277402,0.00108463049277402,0.00108463049277402,0.0011432591680591,0,0,"TX","Hale","Texas"
"12",11,"01027",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.47495888772612e-05,7.47495888772612e-05,7.47495888772612e-05,0.000149499177754522,0.000149499177754522,0.000149499177754522,0.000149499177754522,0.000224248766631784,0.000448497533263567,0.000597996711018089,0.000597996711018089,0.000672746299895351,0.000672746299895351,0.000672746299895351,0.000822245477649873,0.000822245477649873,0.000822245477649873,0.000896995066527134,0.00104649424428166,0.00104649424428166,0.00104649424428166,0.00104649424428166,0.00104649424428166,0.00104649424428166,0.00127074301091344,0.0013454925997907,0.00142024218866796,0.00142024218866796,0.00142024218866796,0.00142024218866796,0.00142024218866796,0.00142024218866796,0.00142024218866796,0.00142024218866796,0.00142024218866796,0.00156974136642248,0.00156974136642248,0.00156974136642248,0.00156974136642248,0.00164449095529975,0.00164449095529975,0.00179399013305427,0.00186873972193153,0.00186873972193153,0.00194348931080879,0.00194348931080879,0.00194348931080879,0.00201823889968605,0.00201823889968605,0,0,"AL","Clay","Alabama"
"13",12,"48011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000521920668058455,0.000521920668058455,0.000521920668058455,0.000521920668058455,0.000521920668058455,0.000521920668058455,0.000521920668058455,0.000521920668058455,0.000521920668058455,0.000521920668058455,0.000521920668058455,0.00104384133611691,0.00104384133611691,0.00104384133611691,0.00104384133611691,0.00104384133611691,0.00104384133611691,0.00104384133611691,0.00104384133611691,0.00104384133611691,0.00104384133611691,0.00104384133611691,0.00104384133611691,0.00104384133611691,0.00104384133611691,0.00104384133611691,0.00104384133611691,0.00104384133611691,0.00104384133611691,0,0,"TX","Armstrong","Texas"
"14",13,"39003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92971961174041e-05,3.85943922348083e-05,3.85943922348083e-05,4.82429902935104e-05,5.78915883522124e-05,9.64859805870207e-05,0.000115783176704425,0.000144728970880531,0.000173674765056637,0.000183323363115339,0.000212269157291446,0.000221917755350148,0.000221917755350148,0.00023156635340885,0.000260512147584956,0.000318403735937168,0.000356998128171977,0.000443835510700295,0.000492078500993806,0.000549970089346018,0.000627158873815635,0.000675401864109145,0.000762239246637464,0.000810482236930974,0.000849076629165782,0.000906968217517995,0.000964859805870207,0.00104204859033982,0.00104204859033982,0.00104204859033982,0.000993805600046313,0.000993805600046313,0.00111923737480944,0.00116748036510295,0.00116748036510295,0.00118677756122035,0.00119642615927906,0.00128326354180738,0.00130256073792478,0.00134115513015959,0.00133150653210089,0.00134115513015959,0.0013893981204531,0.0013893981204531,0.0014086953165705,0.00148588410104012,0,0,"OH","Allen","Ohio"
"15",14,"13189",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.65159549725556e-05,4.65159549725556e-05,4.65159549725556e-05,4.65159549725556e-05,4.65159549725556e-05,0.000139547864917667,0.000139547864917667,0.000186063819890222,0.000232579774862778,0.000279095729835334,0.000279095729835334,0.000372127639780445,0.000744255279560889,0.000790771234533445,0.000837287189506001,0.000883803144478556,0.000930319099451112,0.00106986696436878,0.00130244673923156,0.00139547864917667,0.00139547864917667,0.00162805842403945,0.00162805842403945,0.00172109033398456,0.00172109033398456,0.00172109033398456,0.00172109033398456,0.00172109033398456,0.00181412224392967,0.00181412224392967,0.00200018606381989,0.00200018606381989,0.00204670201879245,0.00204670201879245,0.00204670201879245,0.002093217973765,0.002093217973765,0.002093217973765,0.002093217973765,0.00218624988371011,0.00227928179365522,0.00232579774862778,0.00232579774862778,0.00232579774862778,0.00232579774862778,0.00237231370360033,0.00237231370360033,0.00241882965857289,0,0,"GA","McDuffie","Georgia"
"16",15,"55111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57242593873829e-05,3.14485187747657e-05,3.14485187747657e-05,3.14485187747657e-05,4.71727781621486e-05,6.28970375495314e-05,9.43455563242971e-05,0.00011006981571168,0.000125794075099063,0.000172966853261211,0.000188691112648594,0.000204415372035977,0.000204415372035977,0.00022013963142336,0.000251588150198126,0.000283036668972891,0.000283036668972891,0.000283036668972891,0.000283036668972891,0.000314485187747657,0.000314485187747657,0.00033020944713504,0.000393106484684571,0.000393106484684571,0.000408830744071954,0.000408830744071954,0.00044027926284672,0.000487452041008868,0.000487452041008868,0.000487452041008868,0.000503176300396251,0.000518900559783634,0.000534624819171017,0.000534624819171017,0.000566073337945783,0.000581797597333166,0.000597521856720549,0.000597521856720549,0.000628970375495314,0.00066041889427008,0.000691867413044846,0.000691867413044846,0.000707591672432228,0.000912007044468206,0.0010063526007925,0.00102207686017989,0.00103780111956727,0.00105352537895465,0.0011006981571168,0.00108497389772942,0.00108497389772942,0.00111642241650418,0.00111642241650418,0.00113214667589157,0.00114787093527895,0,0,"WI","Sauk","Wisconsin"
"17",16,"05137",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.03470994697091e-05,8.03470994697091e-05,8.03470994697091e-05,8.03470994697091e-05,8.03470994697091e-05,8.03470994697091e-05,8.03470994697091e-05,8.03470994697091e-05,0.000401735497348546,0.000401735497348546,0.000401735497348546,0.000401735497348546,0.000401735497348546,0.000401735497348546,0.000401735497348546,0.000401735497348546,0.000562429696287964,0.000562429696287964,0.000562429696287964,0.000562429696287964,0.000562429696287964,0.000562429696287964,0.000562429696287964,0.000562429696287964,0.000562429696287964,0.000562429696287964,0.000562429696287964,0.000562429696287964,0.000562429696287964,0.000562429696287964,0.000562429696287964,0.000562429696287964,0.000562429696287964,0.000562429696287964,0.000562429696287964,0.000562429696287964,0.000562429696287964,0.000562429696287964,0.000562429696287964,0.000562429696287964,0.000642776795757673,0.000642776795757673,0.000642776795757673,0.000642776795757673,0.000642776795757673,0.000642776795757673,0.000642776795757673,0.000642776795757673,0.000642776795757673,0.000642776795757673,0.000642776795757673,0,0,"AR","Stone","Arkansas"
"18",17,"41063",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000144425187752744,0.000144425187752744,0.000144425187752744,0.000144425187752744,0.000144425187752744,0.000144425187752744,0.000144425187752744,0.000144425187752744,0.000433275563258232,0.000144425187752744,0.000144425187752744,0.000144425187752744,0.000144425187752744,0.000144425187752744,0.000144425187752744,0.000144425187752744,0.000144425187752744,0.000144425187752744,0.000144425187752744,0.000144425187752744,0.000144425187752744,0.000144425187752744,0.000144425187752744,0.000144425187752744,0.000144425187752744,0.000144425187752744,0.000144425187752744,0.000144425187752744,0.000144425187752744,0.000144425187752744,0.000144425187752744,0.000144425187752744,0.000144425187752744,0.000144425187752744,0.000144425187752744,0.000144425187752744,0.000144425187752744,0.000144425187752744,0.000144425187752744,0.000144425187752744,0.000144425187752744,0.000144425187752744,0.000144425187752744,0,0,"OR","Wallowa","Oregon"
"19",18,"42007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.99175534464577e-06,5.99175534464577e-06,1.19835106892915e-05,1.19835106892915e-05,1.79752660339373e-05,1.79752660339373e-05,1.79752660339373e-05,1.79752660339373e-05,1.79752660339373e-05,4.19422874125204e-05,7.7892819480395e-05,8.38845748250407e-05,0.000131818617582207,0.000167769149650081,0.000263637235164414,0.00031157127792158,0.000323554788610871,0.000329546543955517,0.000389464097401975,0.000413431118780558,0.000503307448950244,0.000575208513085994,0.000695043619978909,0.000766944684114658,0.000772936439459304,0.000832853992905762,0.000856821014284345,0.000868804524973636,0.000916738567730802,0.00093471383376474,0.000946697344454031,0.00100661489790049,0.00106653245134695,0.00166570798581152,0.00172562553925798,0.00178554309270444,0.00181550186942767,0.00189938644425271,0.001911369954942,0.00201922155114562,0.00215104016872783,0.00219298245614035,0.00231880931837791,0.00232480107372256,0.00234876809510114,0.00242666091458154,0.0025524877768191,0.00260641357492091,0.00260641357492091,0.00274422394784776,0.00279215799060493,0.00282211676732816,0.0028281085226728,0.00287005081008532,0.00288802607611926,0.00294195187422107,0.00294195187422107,0.00295393538491036,0,0,"PA","Beaver","Pennsylvania"
"20",19,"28061",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.04997277512251e-05,0.00012099945550245,0.000181499183253675,0.000181499183253675,0.000181499183253675,0.000181499183253675,0.0002419989110049,0.0002419989110049,0.000604997277512251,0.000604997277512251,0.000725996733014701,0.000846996188517152,0.000846996188517152,0.000846996188517152,0.000907495916268377,0.00114949482727328,0.0012099945550245,0.00133099401052695,0.00139149373827818,0.00139149373827818,0.00139149373827818,0.0014519934660294,0.00163349264928308,0.00175449210478553,0.0019359912880392,0.00187549156028798,0.0019359912880392,0.00199649101579043,0.00205699074354165,0.00254098856555146,0.00290398693205881,0.00326698529856616,0.00332748502631738,0.00375098312057596,0.00387198257607841,0.00399298203158086,0.00459797930909311,0.00508197713110291,0.00520297658660536,0.00520297658660536,0.00538447576985904,0.00556597495311271,0,0,"MS","Jasper","Mississippi"
